ADR-187 — planned sequence vs greedy, 6 gameweeks [5, 6, 7, 8, 9, 10], 1 free transfer/week

 squad  do nothing    greedy   planned    gain  moves
     1       201.2     250.5     250.5    +0.0      3
     2       183.7     216.7     219.2    +2.5      3
     3       166.9     217.0     219.0    +2.0      3
     4       171.5     220.2     220.2    +0.0      3
     5       184.5     214.3     224.6   +10.3      3
     6       176.2     214.6     214.6    +0.0      3
     7       134.9     175.2     178.8    +3.6      3
     8       123.1     175.1     175.1    +0.0      3
     9       180.5     222.6     223.3    +0.7      3
    10       185.5     232.2     232.2    +0.0      3
    11       144.1     184.0     184.0    +0.0      3
    12       165.2     218.9     218.9    +0.0      3
    13       188.8     228.9     228.9    +0.0      3
    14       188.1     228.4     231.1    +2.7      3
    15       152.3     203.3     203.3    +0.0      3
    16       168.4     218.1     218.1    +0.0      3
    17       165.9     211.8     213.1    +1.3      3
    18       220.1     251.5     257.7    +6.2      3
    19       147.0     176.3     176.3    +0.0      3
    20       205.3     241.4     241.4    +0.0      3
    21       216.5     245.0     246.2    +1.2      2
    22       225.0     265.2     265.2    +0.0      3
    23       230.6     253.7     268.0   +14.3      3
    24       166.8     217.8     219.2    +1.4      3

  planned beats greedy by: median +0.0 · best +14.3 · worst +0.0
  over 6 gameweeks, i.e. +0.00 points per gameweek at the median
